tournament,pool_id,fencer_num,fencer,opponent_num,opponent,bout_order,bout_type,cell_result,result,touches_scored,touches_allowed,score_margin,fencer_rating_pre,opp_rating_pre,strength_diff,win,fencer_bout_order,prev_win,recent_form_3
Feb NAC 2026,pool_10,5,CHEN Ethan,4,LE Jacob H.,5,pool,V5,1,5,5,0,2527.0,2542.0,-15.0,1,2,0.0,0.0
Feb NAC 2026,pool_10,5,CHEN Ethan,7,HAN Changhee,11,pool,V5,1,5,5,0,2527.0,2675.0,-148.0,1,4,1.0,0.6666666666666666
Feb NAC 2026,pool_10,5,CHEN Ethan,3,WANG Elijah (QiChen),15,pool,V5,1,5,5,0,2527.0,2245.0,282.0,1,5,1.0,1.0
Feb NAC 2026,pool_10,5,CHEN Ethan,6,YIN Zixin (Gavin),19,pool,V5,1,5,5,0,2527.0,2005.0,522.0,1,6,1.0,1.0
Feb NAC 2026,pool_10,7,HAN Changhee,6,YIN Zixin (Gavin),7,pool,V5,1,5,5,0,2675.0,2005.0,670.0,1,2,0.0,0.0
Feb NAC 2026,pool_10,7,HAN Changhee,5,CHEN Ethan,11,pool,D4,0,4,5,-1,2675.0,2527.0,148.0,0,3,1.0,0.5
Feb NAC 2026,pool_10,7,HAN Changhee,2,LO Conrad,14,pool,D2,0,2,5,-3,2675.0,3212.0,-537.0,0,4,0.0,0.3333333333333333
Feb NAC 2026,pool_10,7,HAN Changhee,3,WANG Elijah (QiChen),18,pool,V5,1,5,5,0,2675.0,2245.0,430.0,1,5,0.0,0.3333333333333333
Feb NAC 2026,pool_10,7,HAN Changhee,4,LE Jacob H.,21,pool,V5,1,5,5,0,2675.0,2542.0,133.0,1,6,1.0,0.3333333333333333
Feb NAC 2026,pool_10,4,LE Jacob H.,5,CHEN Ethan,5,pool,D3,0,3,5,-2,2542.0,2527.0,15.0,0,2,1.0,1.0
Feb NAC 2026,pool_10,4,LE Jacob H.,3,WANG Elijah (QiChen),9,pool,D3,0,3,5,-2,2542.0,2245.0,297.0,0,3,0.0,0.5
Feb NAC 2026,pool_10,4,LE Jacob H.,6,YIN Zixin (Gavin),13,pool,V5,1,5,5,0,2542.0,2005.0,537.0,1,4,0.0,0.3333333333333333
Feb NAC 2026,pool_10,4,LE Jacob H.,2,LO Conrad,17,pool,V5,1,5,5,0,2542.0,3212.0,-670.0,1,5,1.0,0.3333333333333333
Feb NAC 2026,pool_10,4,LE Jacob H.,7,HAN Changhee,21,pool,D1,0,1,5,-4,2542.0,2675.0,-133.0,0,6,1.0,0.6666666666666666
Feb NAC 2026,pool_10,2,LO Conrad,3,WANG Elijah (QiChen),6,pool,V5,1,5,5,0,3212.0,2245.0,967.0,1,2,1.0,1.0
Feb NAC 2026,pool_10,2,LO Conrad,6,YIN Zixin (Gavin),10,pool,V5,1,5,5,0,3212.0,2005.0,1207.0,1,3,1.0,1.0
Feb NAC 2026,pool_10,2,LO Conrad,7,HAN Changhee,14,pool,V5,1,5,5,0,3212.0,2675.0,537.0,1,4,1.0,1.0
Feb NAC 2026,pool_10,2,LO Conrad,4,LE Jacob H.,17,pool,D4,0,4,5,-1,3212.0,2542.0,670.0,0,5,1.0,1.0
Feb NAC 2026,pool_10,3,WANG Elijah (QiChen),2,LO Conrad,6,pool,D3,0,3,5,-2,2245.0,3212.0,-967.0,0,2,0.0,0.0
Feb NAC 2026,pool_10,3,WANG Elijah (QiChen),4,LE Jacob H.,9,pool,V5,1,5,5,0,2245.0,2542.0,-297.0,1,3,0.0,0.0
Feb NAC 2026,pool_10,3,WANG Elijah (QiChen),5,CHEN Ethan,15,pool,D2,0,2,5,-3,2245.0,2527.0,-282.0,0,5,1.0,0.6666666666666666
Feb NAC 2026,pool_10,3,WANG Elijah (QiChen),7,HAN Changhee,18,pool,D3,0,3,5,-2,2245.0,2675.0,-430.0,0,6,0.0,0.6666666666666666
Feb NAC 2026,pool_10,6,YIN Zixin (Gavin),7,HAN Changhee,7,pool,D3,0,3,5,-2,2005.0,2675.0,-670.0,0,2,1.0,1.0
Feb NAC 2026,pool_10,6,YIN Zixin (Gavin),2,LO Conrad,10,pool,D0,0,0,5,-5,2005.0,3212.0,-1207.0,0,3,0.0,0.5
Feb NAC 2026,pool_10,6,YIN Zixin (Gavin),4,LE Jacob H.,13,pool,D2,0,2,5,-3,2005.0,2542.0,-537.0,0,4,0.0,0.3333333333333333
Feb NAC 2026,pool_10,6,YIN Zixin (Gavin),5,CHEN Ethan,19,pool,D2,0,2,5,-3,2005.0,2527.0,-522.0,0,6,1.0,0.3333333333333333
Feb NAC 2026,pool_11,5,CO Dylan,4,PAN Ethan,5,pool,V5,1,5,5,0,2888.0,2091.0,797.0,1,2,1.0,1.0
Feb NAC 2026,pool_11,5,CO Dylan,1,SONG Noel,8,pool,V5,1,5,5,0,2888.0,2615.0,273.0,1,3,1.0,1.0
Feb NAC 2026,pool_11,5,CO Dylan,7,YOU Martin,11,pool,V5,1,5,5,0,2888.0,1711.0,1177.0,1,4,1.0,1.0
Feb NAC 2026,pool_11,5,CO Dylan,3,ZHONG Maxwell,15,pool,V5,1,5,5,0,2888.0,2250.0,638.0,1,5,1.0,1.0
Feb NAC 2026,pool_11,5,CO Dylan,6,LIU Aaron,19,pool,V5,1,5,5,0,2888.0,2184.0,704.0,1,6,1.0,1.0
